========================================================
REGISTER DUMP FOR TEST (Time: 1305000)
========================================================
 REG | CORE 0 VALUE (HEX) | CORE 1 VALUE (HEX) 
--------------------------------------------------
 x00 | 0x00000000         | 0x00000000         
 x01 | 0x00000000         | 0x00000000         
 x02 | 0x00000000         | 0x00000000         
 x03 | 0x00000000         | 0x00000000         
 x04 | 0x00000000         | 0x00000000         
 x05 | 0x00000000         | 0x00000000         
 x06 | 0x00000000         | 0x00000000         
 x07 | 0x00000000         | 0x00000000         
 x08 | 0x00000000         | 0x00000000         
 x09 | 0x00000000         | 0x00000000         
 x10 | 0x00000000         | 0x00000000         
 x11 | 0x00000078         | 0x00000078         
 x12 | 0x00000540         | 0x00000000         
 x13 | 0x00000000         | 0x00000000         
 x14 | 0x00000063         | 0x00000000         
 x15 | 0x00000000         | 0x00000000         
 x16 | 0x00000001         | 0x00000000         
 x17 | 0x00000000         | 0x00000000         
 x18 | 0x00000000         | 0x00000000         
 x19 | 0x00000000         | 0x00000000         
 x20 | 0x00000000         | 0x00000000         
 x21 | 0x00000000         | 0x00000000         
 x22 | 0x00000000         | 0x00000000         
 x23 | 0x00000000         | 0x00000000         
 x24 | 0x00000000         | 0x00000000         
 x25 | 0x00000000         | 0x00000000         
 x26 | 0x00000001         | 0x00000001         
 x27 | 0x00000000         | 0x00000000         
 x28 | 0x00000000         | 0x00000000         
 x29 | 0x00000000         | 0x00000000         
 x30 | 0x00000000         | 0x00000000         
 x31 | 0x00000000         | 0x00000000         


